34|INTANGIBLES|2||
341|CONCESIONES,LICENC.Y OTR.DERECHOS|3||
3412|LICENCIAS|4||
34121|LICENCIAS-COSTO|5||
341211|LICENCIAS-COSTO|||
343|PROGRAM.COMPUTADORA(SOFTWARE)|3||
3431|APLICACIONES INFORMATICAS|4||
34311|APLICACIONES INFORMATICAS-COSTO|5||
343111|APLICACIONES INFORMATICAS-COSTO|||
344|COSTOS EXPLORACION Y DESARROLLO|3||
3442|COSTO DE DESARROLLO|4||
34421|COSTO DE DESARROLLO-COSTO|5||
344211|COSTO DE DESARROLLO-COSTO|||
37|ACTIVO DIFERIDO|2||
371|IMPUESTO A LA RENTA DIFERIDO|3||
3711|IMPUESTO A LA RENTA DIFERIDO-PATRIMONIO|4||
371111|IMPUESTO A LA RENTA DIFERIDO-PATRIMONIO|||
3712|IMPUESTO A LA RENTA DIFERIDO-RESULTADOS|4||
371211|IMPUESTO A LA RENTA DIFERIDO-RESULTADOS|||
373|INTERESES DIFERIDOS|3||
3731|INTERESES NO DEVENGADOS TRANSACC.TERCERO|4||
373111|INTERESES NO DEVENGADOS-LOCALES|||
373112|INTERESES NO DEVENGADOS-UNIDAD TRANSPORT|||
39|DEPRECIACIÓN y AMORTIZACIÓN ACUMULADOS|2||
393|DEP.ACUM.PROP.PLANTA Y EQUI.- ARRENDA.FI|3||
3932|DEP.ACUM.ARRENDA FINANCIERO-EDIFICACIONE|4||
39321|DEP.ACUM.ARRENDA FINAN.-EDIFICACIONES CO|5||
393211|DEP.ACUM.ARRENDA FINAN.-EDIFICACIONES CO|||
3934|DEP.ACUM.ARRENDA FINANCIERO-UNID,TRANSPO|4||
39341|DEP.ACUM.ARRENDA FINAN.-UNID,TRANSPORTE|5||
393411|DEP.ACUM.ARRENDA FINAN.-UNID,TRANSPORTE|||
395|DEP.ACUMULADA DE PROPIEDAD, PLANTA Y EQU|3||
3952|DEP.ACUM.PROP.PLANTA Y EQUI.-COSTO|4||
39521|DEP.ACUMULADA-EDIFICACIONES|5||
395211|DEP.ACUM.-EDIFICACIONES COSTO|||
39523|DEP.ACUM.MEJORAS LOCALES ARRENDADOS COST|5||
395231|DEP.ACUM.MEJORAS LOCALES ARRENDADOS COST|||
39525|DEP.ACUM.UNIDADES DE TRANSPORTE COSTO|5||
395251|DEP.ACUM.UNIDADES DE TRANSPORTE COSTO|||
39526|DEP.ACUM.MUEBLES Y ENSERES-COSTO|5||
395261|DEP.ACUM.MUEBLES Y ENSERES-COSTO|||
39527|DEP.ACUM.EQUIPOS DIVERSOS-COSTO|5||
395271|DEP.ACUM.EQ.PROCESAMIENT.INFORM-COSTO|||
395272|DEP.ACUM.EQUIPO DE COMUNICACIÓN-COSTO|||
